q_id,image_id,question,answer,full_answer
44,graph_44_normal,Explain the anomaly in Kimberly Branch if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
45,graph_45_normal,Explain the anomaly in Repo 8 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
46,graph_46_normal,Explain the anomaly in Repo 10 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
47,graph_47_normal,Explain the anomaly in Antonio Warren if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
48,graph_48_normal,Explain the anomaly in Repo 2 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
49,graph_49_normal,Explain the anomaly in Repo 8 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
50,graph_50_normal,Explain the anomaly in David Thomas if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
51,graph_51_anomalous,Explain the anomaly in Dawn Beasley if there are any.,"Dawn Beasley, a Developer, has a large number of connections, linking to the following nodes: Repo 3, Repo 1, Repo 4, Repo 2, Repo 9, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph.","Dawn Beasley, a Developer, has a large number of connections, linking to the following nodes: Repo 3, Repo 1, Repo 4, Repo 2, Repo 9, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph."
52,graph_52_anomalous,Explain the anomaly in Daniel Meyer if there are any.,"Daniel Meyer, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 7, Repo 12, Repo 3, Repo 8, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph.","Daniel Meyer, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 7, Repo 12, Repo 3, Repo 8, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph."
53,graph_53_anomalous,Explain the anomaly in Daniel Rivera if there are any.,"Daniel Rivera, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 3, Repo 9, Repo 10, Repo 6, Repo 7, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph.","Daniel Rivera, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 3, Repo 9, Repo 10, Repo 6, Repo 7, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph."
54,graph_54_anomalous,Explain the anomaly in Joshua Dillon if there are any.,"Joshua Dillon, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 2, Repo 8, Repo 11, Repo 12, Repo 3. It is more than 2 standard deviations away from the mean edges in the graph.","Joshua Dillon, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 2, Repo 8, Repo 11, Repo 12, Repo 3. It is more than 2 standard deviations away from the mean edges in the graph."
55,graph_55_anomalous,Explain the anomaly in Austin Chapman if there are any.,"Austin Chapman, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 6, Repo 9, Repo 10, Repo 8, Repo 5, Repo 2, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph.","Austin Chapman, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 6, Repo 9, Repo 10, Repo 8, Repo 5, Repo 2, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph."
56,graph_56_anomalous,Explain the anomaly in Jenna Morse if there are any.,"Jenna Morse, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 9, Repo 12, Repo 7, Repo 10, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph.","Jenna Morse, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 9, Repo 12, Repo 7, Repo 10, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph."
57,graph_57_anomalous,Explain the anomaly in Christian Howard if there are any.,"Christian Howard, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 2, Repo 12, Repo 9, Repo 5, Repo 8, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph.","Christian Howard, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 2, Repo 12, Repo 9, Repo 5, Repo 8, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph."
58,graph_58_anomalous,Explain the anomaly in Jasmine Hurst if there are any.,"Jasmine Hurst, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 3, Repo 12, Repo 7, Repo 10, Repo 9, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph.","Jasmine Hurst, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 3, Repo 12, Repo 7, Repo 10, Repo 9, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph."
59,graph_59_anomalous,Explain the anomaly in Denise Shaw if there are any.,"Denise Shaw, a Developer, has a large number of connections, linking to the following nodes: Repo 10, Repo 8, Repo 11, Repo 7, Repo 6, Repo 4, Repo 12, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph.","Denise Shaw, a Developer, has a large number of connections, linking to the following nodes: Repo 10, Repo 8, Repo 11, Repo 7, Repo 6, Repo 4, Repo 12, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph."
60,graph_60_anomalous,Explain the anomaly in Elizabeth Mack if there are any.,"Elizabeth Mack, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 7, Repo 5, Repo 4, Repo 12, Repo 2, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Elizabeth Mack, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 7, Repo 5, Repo 4, Repo 12, Repo 2, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
61,graph_61_anomalous,Explain the anomaly in Cassandra Lee if there are any.,"Cassandra Lee, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 11, Repo 3, Repo 5, Repo 7, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph.","Cassandra Lee, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 11, Repo 3, Repo 5, Repo 7, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph."
62,graph_62_anomalous,Explain the anomaly in John Greene if there are any.,"John Greene, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 5, Repo 11, Repo 4, Repo 2, Repo 8, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph.","John Greene, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 5, Repo 11, Repo 4, Repo 2, Repo 8, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph."
63,graph_63_anomalous,Explain the anomaly in Sherry Sharp if there are any.,"Sherry Sharp, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 10, Repo 12, Repo 9, Repo 5, Repo 1, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph.","Sherry Sharp, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 10, Repo 12, Repo 9, Repo 5, Repo 1, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph."
64,graph_64_anomalous,Explain the anomaly in Elizabeth Kim if there are any.,"Elizabeth Kim, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 1, Repo 2, Repo 7, Repo 11, Repo 6, Repo 8, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Elizabeth Kim, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 1, Repo 2, Repo 7, Repo 11, Repo 6, Repo 8, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
65,graph_65_anomalous,Explain the anomaly in Daniel Beltran if there are any.,"Daniel Beltran, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 9, Repo 3, Repo 5, Repo 10, Repo 12, Repo 8. It is more than 2 standard deviations away from the mean edges in the graph.","Daniel Beltran, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 9, Repo 3, Repo 5, Repo 10, Repo 12, Repo 8. It is more than 2 standard deviations away from the mean edges in the graph."
66,graph_66_anomalous,Explain the anomaly in Juan Bell if there are any.,"Juan Bell, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 10, Repo 12, Repo 4, Repo 7, Repo 11, Repo 1, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Juan Bell, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 10, Repo 12, Repo 4, Repo 7, Repo 11, Repo 1, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
67,graph_67_anomalous,Explain the anomaly in Dean Mcgrath if there are any.,"Dean Mcgrath, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 8, Repo 9, Repo 3, Repo 10, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph.","Dean Mcgrath, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 8, Repo 9, Repo 3, Repo 10, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph."
68,graph_68_anomalous,Explain the anomaly in Ryan Delacruz if there are any.,"Ryan Delacruz, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 3, Repo 8, Repo 10, Repo 6, Repo 4, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph.","Ryan Delacruz, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 3, Repo 8, Repo 10, Repo 6, Repo 4, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph."
69,graph_69_anomalous,Explain the anomaly in Richard Gonzalez if there are any.,"Richard Gonzalez, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 4, Repo 11, Repo 9, Repo 3, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph.","Richard Gonzalez, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 4, Repo 11, Repo 9, Repo 3, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph."
70,graph_70_anomalous,Explain the anomaly in Justin Sherman if there are any.,"Justin Sherman, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 8, Repo 3, Repo 9, Repo 6, Repo 4, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph.","Justin Sherman, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 8, Repo 3, Repo 9, Repo 6, Repo 4, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph."
71,graph_71_anomalous,Explain the anomaly in John Johnson if there are any.,"John Johnson, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 4, Repo 3, Repo 5, Repo 10, Repo 11, Repo 6, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph.","John Johnson, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 4, Repo 3, Repo 5, Repo 10, Repo 11, Repo 6, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph."
72,graph_72_anomalous,Explain the anomaly in Aaron Santiago if there are any.,"Aaron Santiago, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 6, Repo 3, Repo 12, Repo 1, Repo 11, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph.","Aaron Santiago, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 6, Repo 3, Repo 12, Repo 1, Repo 11, Repo 2. It is more than 2 standard deviations away from the mean edges in the graph."
73,graph_73_anomalous,Explain the anomaly in Julie Gibson if there are any.,"Julie Gibson, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 12, Repo 2, Repo 4, Repo 8, Repo 3, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph.","Julie Gibson, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 12, Repo 2, Repo 4, Repo 8, Repo 3, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph."
74,graph_74_anomalous,Explain the anomaly in Adam Davis if there are any.,"Adam Davis, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 4, Repo 2, Repo 10, Repo 7, Repo 5, Repo 9, Repo 3. It is more than 2 standard deviations away from the mean edges in the graph.","Adam Davis, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 4, Repo 2, Repo 10, Repo 7, Repo 5, Repo 9, Repo 3. It is more than 2 standard deviations away from the mean edges in the graph."
75,graph_75_anomalous,Explain the anomaly in Jennifer Bird if there are any.,"Jennifer Bird, a Developer, has a large number of connections, linking to the following nodes: Repo 2, Repo 3, Repo 1, Repo 10, Repo 8, Repo 9, Repo 5, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph.","Jennifer Bird, a Developer, has a large number of connections, linking to the following nodes: Repo 2, Repo 3, Repo 1, Repo 10, Repo 8, Repo 9, Repo 5, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph."
76,graph_76_anomalous,Explain the anomaly in Edwin Reed if there are any.,"Edwin Reed, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 8, Repo 7, Repo 2, Repo 6, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Edwin Reed, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 8, Repo 7, Repo 2, Repo 6, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
77,graph_77_anomalous,Explain the anomaly in Robert Hudson if there are any.,"Robert Hudson, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 5, Repo 12, Repo 4, Repo 1, Repo 10, Repo 3, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph.","Robert Hudson, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 5, Repo 12, Repo 4, Repo 1, Repo 10, Repo 3, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph."
78,graph_78_anomalous,Explain the anomaly in Erika Sawyer if there are any.,"Erika Sawyer, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 2, Repo 10, Repo 11, Repo 3, Repo 8, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Erika Sawyer, a Developer, has a large number of connections, linking to the following nodes: Repo 1, Repo 2, Repo 10, Repo 11, Repo 3, Repo 8, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
79,graph_79_anomalous,Explain the anomaly in Jennifer Hull if there are any.,"Jennifer Hull, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 1, Repo 8, Repo 3, Repo 10, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph.","Jennifer Hull, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 1, Repo 8, Repo 3, Repo 10, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph."
80,graph_80_anomalous,Explain the anomaly in Alexander Morrow if there are any.,"Alexander Morrow, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 7, Repo 11, Repo 8, Repo 4, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph.","Alexander Morrow, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 7, Repo 11, Repo 8, Repo 4, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph."
81,graph_81_anomalous,Explain the anomaly in Patrick Boyer if there are any.,"Patrick Boyer, a Developer, has a large number of connections, linking to the following nodes: Repo 7, Repo 5, Repo 4, Repo 11, Repo 8, Repo 10, Repo 12, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Patrick Boyer, a Developer, has a large number of connections, linking to the following nodes: Repo 7, Repo 5, Repo 4, Repo 11, Repo 8, Repo 10, Repo 12, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
82,graph_82_anomalous,Explain the anomaly in Gregory Perkins if there are any.,"Gregory Perkins, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 2, Repo 1, Repo 9, Repo 3, Repo 4, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph.","Gregory Perkins, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 2, Repo 1, Repo 9, Repo 3, Repo 4, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph."
83,graph_83_anomalous,Explain the anomaly in Debra Casey if there are any.,"Debra Casey, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 4, Repo 10, Repo 7, Repo 3, Repo 11, Repo 8, Repo 5. It is more than 2 standard deviations away from the mean edges in the graph.","Debra Casey, a Developer, has a large number of connections, linking to the following nodes: Repo 6, Repo 4, Repo 10, Repo 7, Repo 3, Repo 11, Repo 8, Repo 5. It is more than 2 standard deviations away from the mean edges in the graph."
84,graph_84_anomalous,Explain the anomaly in Shannon Harrison if there are any.,"Shannon Harrison, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 7, Repo 8, Repo 1, Repo 2, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph.","Shannon Harrison, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 7, Repo 8, Repo 1, Repo 2, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph."
85,graph_85_anomalous,Explain the anomaly in Jacqueline Castro if there are any.,"Jacqueline Castro, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 7, Repo 1, Repo 9, Repo 10, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph.","Jacqueline Castro, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 7, Repo 1, Repo 9, Repo 10, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph."
86,graph_86_anomalous,Explain the anomaly in Kristin Williams if there are any.,"Kristin Williams, a Developer, has a large number of connections, linking to the following nodes: Repo 3, Repo 7, Repo 11, Repo 4, Repo 5, Repo 6, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph.","Kristin Williams, a Developer, has a large number of connections, linking to the following nodes: Repo 3, Repo 7, Repo 11, Repo 4, Repo 5, Repo 6, Repo 12. It is more than 2 standard deviations away from the mean edges in the graph."
87,graph_87_anomalous,Explain the anomaly in Connor Williams if there are any.,"Connor Williams, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 10, Repo 5, Repo 1, Repo 3, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph.","Connor Williams, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 7, Repo 10, Repo 5, Repo 1, Repo 3, Repo 4. It is more than 2 standard deviations away from the mean edges in the graph."
88,graph_88_anomalous,Explain the anomaly in Jason Carter if there are any.,"Jason Carter, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 1, Repo 5, Repo 8, Repo 4, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph.","Jason Carter, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 1, Repo 5, Repo 8, Repo 4, Repo 7. It is more than 2 standard deviations away from the mean edges in the graph."
89,graph_89_anomalous,Explain the anomaly in Timothy Martin if there are any.,"Timothy Martin, a Developer, has a large number of connections, linking to the following nodes: Repo 3, Repo 12, Repo 2, Repo 10, Repo 9, Repo 1, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph.","Timothy Martin, a Developer, has a large number of connections, linking to the following nodes: Repo 3, Repo 12, Repo 2, Repo 10, Repo 9, Repo 1, Repo 6. It is more than 2 standard deviations away from the mean edges in the graph."
90,graph_90_anomalous,Explain the anomaly in Jason Johnson if there are any.,"Jason Johnson, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 9, Repo 3, Repo 4, Repo 2, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph.","Jason Johnson, a Developer, has a large number of connections, linking to the following nodes: Repo 5, Repo 9, Repo 3, Repo 4, Repo 2, Repo 1. It is more than 2 standard deviations away from the mean edges in the graph."
91,graph_91_anomalous,Explain the anomaly in Frank Kelley if there are any.,"Frank Kelley, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 5, Repo 9, Repo 2, Repo 4, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph.","Frank Kelley, a Developer, has a large number of connections, linking to the following nodes: Repo 12, Repo 5, Repo 9, Repo 2, Repo 4, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph."
92,graph_92_anomalous,Explain the anomaly in Daniel Anderson if there are any.,"Daniel Anderson, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 9, Repo 7, Repo 3, Repo 10, Repo 12, Repo 5, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph.","Daniel Anderson, a Developer, has a large number of connections, linking to the following nodes: Repo 4, Repo 9, Repo 7, Repo 3, Repo 10, Repo 12, Repo 5, Repo 11. It is more than 2 standard deviations away from the mean edges in the graph."
93,graph_93_anomalous,Explain the anomaly in Jesse Simpson if there are any.,"Jesse Simpson, a Developer, has a large number of connections, linking to the following nodes: Repo 10, Repo 1, Repo 8, Repo 2, Repo 12, Repo 5, Repo 3. It is more than 2 standard deviations away from the mean edges in the graph.","Jesse Simpson, a Developer, has a large number of connections, linking to the following nodes: Repo 10, Repo 1, Repo 8, Repo 2, Repo 12, Repo 5, Repo 3. It is more than 2 standard deviations away from the mean edges in the graph."
94,graph_94_anomalous,Explain the anomaly in Justin Zuniga if there are any.,"Justin Zuniga, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 1, Repo 4, Repo 7, Repo 2, Repo 3, Repo 10, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph.","Justin Zuniga, a Developer, has a large number of connections, linking to the following nodes: Repo 8, Repo 1, Repo 4, Repo 7, Repo 2, Repo 3, Repo 10, Repo 9. It is more than 2 standard deviations away from the mean edges in the graph."
95,graph_95_anomalous,Explain the anomaly in Samantha Gomez if there are any.,"Samantha Gomez, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 7, Repo 9, Repo 5, Repo 4, Repo 10, Repo 2, Repo 8. It is more than 2 standard deviations away from the mean edges in the graph.","Samantha Gomez, a Developer, has a large number of connections, linking to the following nodes: Repo 11, Repo 7, Repo 9, Repo 5, Repo 4, Repo 10, Repo 2, Repo 8. It is more than 2 standard deviations away from the mean edges in the graph."
96,graph_96_anomalous,Explain the anomaly in Carol Norton if there are any.,"Carol Norton, a Developer, has a large number of connections, linking to the following nodes: Repo 7, Repo 8, Repo 12, Repo 10, Repo 1, Repo 5. It is more than 2 standard deviations away from the mean edges in the graph.","Carol Norton, a Developer, has a large number of connections, linking to the following nodes: Repo 7, Repo 8, Repo 12, Repo 10, Repo 1, Repo 5. It is more than 2 standard deviations away from the mean edges in the graph."
97,graph_97_anomalous,Explain the anomaly in Scott Dillon if there are any.,"Scott Dillon, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 10, Repo 2, Repo 6, Repo 4, Repo 1, Repo 8. It is more than 2 standard deviations away from the mean edges in the graph.","Scott Dillon, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 10, Repo 2, Repo 6, Repo 4, Repo 1, Repo 8. It is more than 2 standard deviations away from the mean edges in the graph."
98,graph_98_anomalous,Explain the anomaly in Dalton Keller if there are any.,"Dalton Keller, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 10, Repo 3, Repo 11, Repo 2, Repo 5. It is more than 2 standard deviations away from the mean edges in the graph.","Dalton Keller, a Developer, has a large number of connections, linking to the following nodes: Repo 9, Repo 10, Repo 3, Repo 11, Repo 2, Repo 5. It is more than 2 standard deviations away from the mean edges in the graph."
